restaurant_name,city,location,cuisines,average_cost,aggregate_rating,votes,has_online_delivery,has_table_booking,rest_type,dish_liked
BBQ'D - Global Grill & Brewery,Brigade Road,Lavelle Road,"BBQ, North Indian",1500.0,4.3,471,False,False,"Casual Dining, Microbrewery","Butter Chicken, Chaat, Dahipuri, Beer, Jalebi, Pizza, Momos"
Enerjuvate Studio & Cafe,Koramangala 7Th Block,Koramangala 4Th Block,"Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",800.0,4.4,470,True,True,Cafe,"Pizza, Healthy Breakfast, Momos, Enchiladas, Aloo Papdi Chaat, Coffee, Tea"
Gokul Veg,Basavanagudi,Basavanagudi,"North Indian, Chinese, Beverages",750.0,3.8,469,True,False,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti"
Andhra Biryanis,Kalyan Nagar,Nagawara,"Andhra, North Indian, Chinese, Biryani",550.0,4.0,469,True,False,Casual Dining,"Lemon Chicken, Vegetable Biryani"
Rajathadri Food Fort,Jayanagar,Jayanagar,"South Indian, North Indian, Chinese, Street Food",600.0,4.0,469,True,False,Casual Dining,"Butter Naan, Filter Coffee, Pav Bhaji, Vada, Babycorn Manchurian, Tea, Paneer Tikka Masala"
Amontron,Koramangala 7Th Block,Btm,Bengali,650.0,3.9,468,True,False,Casual Dining,"Katla Kalia, Basanti Pulao, Biryani, Fish Curry, Aloo Posto, Mutton Kosha, Fish Fry"
Savoury - Sea Shell Restaurant,Koramangala 4Th Block,Btm,"Arabian, North Indian, Chinese, Fast Food",700.0,3.9,468,True,False,Casual Dining,"Pulpy Grape Juice, Chicken Grill, Tandoori Chicken, Shawarma Roll, Bbq Chicken, Mutton Biryani, Tomato Soup"
Coastal Mama,Jayanagar,Jp Nagar,"Konkan, Mangalorean, North Indian, Seafood",700.0,4.1,468,False,True,Casual Dining,"Murgh Ghee Roast, Neer Dosa, Sea Food, Fish, Prawn Ghee Roast, Prawn Curry, Vegetable Biryani"
Madurai Idly Shop,Koramangala 7Th Block,Koramangala 6Th Block,South Indian,200.0,3.8,468,False,False,Quick Bites,"Tea, Upma, Coffee, Pongal, Podi Idli, Masala Vada, Mini Idlis"
Chaarcoal,Sarjapur Road,Bellandur,North Indian,1200.0,4.0,468,True,False,Casual Dining,"Egg Biryani, Raita, Gulab Jamun, Chicken Biryani, Fish, Stuffed Kulcha, Chicken Lollipop"
Pot Biryani,Old Airport Road,Domlur,"North Indian, Chinese, Biryani, Seafood",600.0,3.9,467,True,False,Casual Dining,"Pot Biryani, Boneless Biryani, Raita, Paneer Biryani, Mutton Biryani, Sea Food, Ghee Roast Mutton"
Domino's Pizza,Jayanagar,Jayanagar,"Pizza, Fast Food",400.0,3.7,466,True,False,Quick Bites,"Garlic Bread, Pasta, Pizza Burger"
